Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2020,P/Ativos,Marg. Líquida,2019,P/Cap. Giro,EBIT / Ativo,2018,P/Ativ Circ Liq,ROIC,2017,Div. Yield,ROE,2016,EV / EBITDA,Liquidez Corr,2015,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Patrim. Líq,N
ENEV3,34.27,ON,09/04/2020,ENEVA ON,19.22,Energia Elétrica,48.31,Energia Elétrica,91.934.700,10.811.600.000,31/12/2019,14.579.900.000,315.483.000,"1,99%",18.0,1.9,"-1,38%",1.57,21.88,"-15,88%","12,50",39.5,"74,85%",3.45,27.6,"-21,56%",0.78,19.1,"171,54%",7.34,6.2,"15,76%","-2,61",7.5,"16,81%",0.0,8.7,"-15,00%",10.76,2.09,"-39,13%","16,86",0.81,"20,0%",0.23,13.863.100.000,6.902.430.000,49
EGIE3,39.27,ON,09/04/2020,ENGIE BRASIL ON,37.56,Energia Elétrica,54.1,Energia Elétrica,105.690.000,32.041.500.000,31/12/2019,42.934.300.000,815.928.000,"0,80%",13.87,2.83,"0,90%",4.58,8.57,"-12,29%","8,22",42.3,"-5,26%",3.27,39.8,"-22,70%",1.06,23.6,"59,20%",41.83,12.9,"29,98%","-1,95",15.3,"9,31%",4.1,33.0,"7,05%",9.02,1.13,"6,28%","11,01",2.11,"12,0%",0.33,30.135.600.000,6.995.150.000,50
EQTL3,18.33,ON NM,09/04/2020,EQUATORIAL ENERGIA S.A. ON NM,15.44,Energia Elétrica,26.9,Energia Elétrica,241.001.000,18.516.700.000,30/09/2019,30.407.000.000,1.010.190.000,"4,62%",11.66,1.57,"4,15%",2.79,6.57,"-17,62%","4,89",27.2,"14,99%",1.13,23.1,"-19,57%",0.55,11.4,"54,61%",4.67,11.2,"15,52%","-1,13",13.8,"21,87%",1.0,23.9,"62,33%",6.99,1.69,"27,47%","8,02",2.5,"20,2%",0.48,33.872.000.000,6.635.790.000,51
ETER3,2.65,ON,09/04/2020,ETERNIT ON,1.91,Construção e Engenharia,7.3,Materiais de Construção,2.034.700,84.201.100,31/12/2019,188.417.000,31.774.000,"3,52%",-6.66,-0.4,"3,52%",-29.84,-0.09,"-33,75%","-1,64",14.0,"31,84%",0.17,-10.5,"-37,79%",0.15,-2.6,"52,69%",21.15,-9.4,"-49,27%","-0,27",-10.8,"-30,38%",0.0,448.2,"-36,80%",-5.75,1.02,"-28,45%","-3,67",-40.25,"-16,6%",0.9,545.587.000,-2.822.000,52
EVEN3,6.35,ON NM,09/04/2020,Even ON NM,5.31,Construção e Engenharia,19.21,Construção Civil,30.264.400,1.377.950.000,31/12/2019,1.852.310.000,217.000.000,"2,42%",11.56,0.55,"3,93%",0.83,7.69,"-42,27%","7,61",24.9,"7,63%",0.72,9.5,"-59,19%",0.28,7.5,"159,33%",0.62,3.6,"4,53%","3,10",4.6,"55,14%",0.0,7.1,"-5,61%",9.73,2.65,"-17,30%","10,23",0.84,"-4,4%",0.38,4.983.540.000,1.668.620.000,53
EZTC3,30.2,ON NM,09/04/2020,EZTec ON NM,19.97,Construção e Engenharia,60.16,Construção Civil,118.198.000,6.855.400.000,31/12/2019,5.590.020.000,227.000.000,"-1,18%",24.39,1.24,"1,68%",1.82,16.57,"-22,16%","48,72",40.8,"39,56%",8.52,17.5,"-41,81%",1.6,36.1,"152,80%",3.24,3.3,"18,53%","3,47",4.8,"64,48%",0.3,7.5,"36,93%",37.2,7.41,"-32,66%","39,73",0.01,"-4,0%",0.19,4.275.920.000,3.762.040.000,54
FESA4,13.79,PN,09/04/2020,FERBASA PN,10.39,Siderurgia e Metalurgia,23.11,Siderurgia,5.491.150,1.217.930.000,31/12/2019,1.537.980.000,88.320.000,"-0,79%",5.51,2.5,"6,32%",0.66,20.74,"-7,45%","10,38",20.2,"-30,41%",0.95,9.2,"-31,08%",0.44,17.3,"3,64%",2.78,4.3,"6,08%","-5,68",4.7,"180,34%",9.8,12.1,"19,89%",5.07,2.71,"-1,63%","13,10",0.27,"8,9%",0.47,2.746.440.000,1.832.110.000,55
FLRY3,21.55,ON NM,09/04/2020,FLEURY ON NM,18.14,Saúde,32.8,"Serviços Médico - Hospitalares, Análises e Diagnósticos",86.269.200,6.826.780.000,31/12/2019,7.578.930.000,316.788.000,"-0,42%",21.86,0.99,"6,47%",3.88,5.55,"-20,21%","12,02",30.6,"-3,30%",2.35,19.6,"-27,69%",1.34,10.8,"61,88%",9.25,11.1,"-30,99%","-3,69",13.8,"68,91%",4.3,17.8,"137,94%",8.53,1.99,"0,00%","13,34",0.88,"11,6%",0.57,5.096.650.000,1.758.980.000,56
GFSA3,3.7,ON,09/04/2020,GAFISA ON,2.8,Construção e Engenharia,10.15,Construção Civil,27.311.000,444.000.000,31/12/2019,760.348.000,120.000.000,"5,71%",-32.31,-0.11,"-2,63%",0.5,7.45,"-23,08%","9,11",29.4,"-45,83%",1.11,12.2,"-57,32%",0.17,-3.5,"-42,92%",0.81,1.9,"-17,40%","3,10",2.4,"30,70%",0.0,-1.5,"-21,83%",12.08,1.44,"16,66%","15,59",0.82,"-29,1%",0.16,2.551.890.000,893.708.000,57
GGBR3,9.56,ON N1,09/04/2020,GERDAU S.A. ON N1,7.62,Siderurgia e Metalurgia,19.42,Siderurgia,1.346.710,16.439.900.000,31/12/2019,26.195.200.000,1.719.660.000,"-3,04%",13.66,0.7,"2,80%",0.61,15.68,"-19,05%","5,93",10.6,"-22,75%",0.41,7.0,"-44,02%",0.3,3.1,"43,06%",1.52,5.1,"21,30%","-1,91",6.3,"31,99%",2.2,4.5,"129,14%",5.4,2.46,"-56,71%","9,45",0.6,"0,1%",0.73,54.003.000.000,26.955.700.000,58
GGBR4,10.7,PN N1,09/04/2020,GERDAU S.A. PN N1,8.64,Siderurgia e Metalurgia,22.23,Siderurgia,258.775.000,18.400.400.000,31/12/2019,28.155.600.000,1.719.660.000,"-3,17%",15.29,0.7,"6,47%",0.68,15.68,"-19,25%","6,64",10.6,"-30,35%",0.46,7.0,"-46,41%",0.34,3.1,"37,65%",1.7,5.1,"22,31%","-2,14",6.3,"15,23%",2.0,4.5,"132,73%",5.81,2.46,"-47,32%","10,15",0.6,"0,1%",0.73,54.003.000.000,26.955.700.000,59
GOAU4,4.72,PN N1,09/04/2020,METALÚRGICA GERDAU PN N1,3.84,Siderurgia e Metalurgia,10.82,Siderurgia,117.819.000,5.131.790.000,31/12/2019,14.887.000.000,1.087.240.000,"-3,48%",12.07,0.39,"1,51%",0.51,9.21,"-24,48%","1,86",10.6,"-35,01%",0.13,7.0,"-49,01%",0.09,3.0,"36,67%",0.47,5.1,"23,23%","-0,60",6.3,"20,83%",2.4,4.2,"192,30%",3.08,2.46,"-84,45%","5,38",1.6,"0,1%",0.73,54.048.700.000,10.014.100.000,60
GOLL4,11.63,PN,09/04/2020,GOL LINHAS AEREAS INTELIGENTES SA PN,5.6,Transporte,43.79,Transporte Aéreo,176.687.000,4.134.490.000,31/12/2019,9.945.140.000,355.502.000,"-3,00%",-35.26,-0.33,"2,29%",-0.54,-21.59,"-33,08%","2,28",29.3,"-50,93%",0.3,13.1,"-68,40%",0.27,1.3,"46,61%",-0.76,11.9,"71,92%","-0,24",15.9,"216,02%",0.0,1.5,"83,33%",2.81,0.48,"-83,19%","5,48",-1.1,"8,8%",0.91,15.298.400.000,-7.676.670.000,61
GRND3,7.22,ON,09/04/2020,GRENDENE SA ON,6.77,"Tecidos, Vestuário e Calçados",12.91,Calçados,17.812.400,6.513.600.000,31/12/2019,5.356.350.000,902.160.000,"-4,37%",13.16,0.55,"-4,12%",1.77,4.08,"-18,88%","19,98",45.6,"-8,72%",3.15,15.7,"-41,21%",1.6,23.9,"55,25%",2.76,8.0,"-10,11%","2,87",12.1,"69,88%",4.4,13.4,"10,21%",13.34,8.91,"18,99%","16,43",0.05,"0,1%",0.51,4.064.450.000,3.682.440.000,62
GUAR3,12.04,ON,09/04/2020,GUARARAPES CONFECÇÕES ON,9.9,Comércio,30.45,"Tecidos, Vestuário e Calçados",25.254.300,6.010.370.000,31/12/2019,7.266.370.000,499.200.000,"-3,06%",10.14,1.19,"10,36%",1.15,10.47,"-45,27%","9,81",63.1,"-26,76%",0.77,7.8,"-49,40%",0.48,7.6,"20,10%",1.93,4.9,"11,26%","45,77",5.9,"149,45%",4.5,11.3,"35,19%",6.46,1.71,"-41,95%","11,86",0.54,"9,3%",0.62,12.602.500.000,5.224.590.000,63
HAPV3,48.86,ON NM,09/04/2020,HAPVIDA ON NM,27.77,Saúde,69.11,"Serviços Médico - Hospitalares, Análises e Diagnósticos",176.182.000,36.302.300.000,31/12/2019,37.009.600.000,742.986.000,"-2,26%",42.72,1.14,"15,24%",5.0,9.77,"8,29%","34,97",39.6,"75,61%",6.44,18.4,"-23,38%",2.91,15.1,"106,40%",87.29,8.3,"8,71%","-11,98",9.5,"0,00%",0.8,11.7,"0,00%",29.89,1.24,"0,00%","35,65",0.29,"21,0%",0.45,12.453.700.000,7.259.600.000,64
HBOR3,1.67,ON,09/04/2020,Helbor ON,1.15,Construção e Engenharia,4.96,Construção Civil,29.035.800,1.117.660.000,31/12/2019,2.038.590.000,669.255.000,"3,73%",-10.73,-0.16,"-11,17%",0.89,1.87,"-38,60%","-23,51",11.7,"25,56%",0.87,-3.7,"-63,30%",0.24,-8.1,"201,33%",0.5,-1.0,"-22,96%","2,40",-1.2,"32,43%",0.0,-8.3,"5,71%",-53.03,2.75,"-61,33%","-42,88",1.2,"-3,7%",0.28,4.627.980.000,1.250.700.000,65
HYPE3,31.46,ON,09/04/2020,HYPERA ON,24.16,Comércio,41.45,Produtos Diversos,154.597.000,19.890.200.000,31/12/2019,19.046.400.000,632.238.000,"-2,05%",17.09,1.84,"10,04%",2.28,13.78,"-10,67%","41,89",63.3,"27,16%",6.04,14.4,"-11,14%",1.67,35.3,"21,77%",6.3,4.0,"-11,93%","13,03",5.1,"47,73%",4.3,13.4,"22,45%",32.0,3.0,"33,98%","40,11",0.16,"3,5%",0.28,11.919.500.000,8.710.100.000,66
IGTA3,30.71,ON NM,09/04/2020,IGUATEMI ON NM,26.97,Exploração de Imóveis,56.86,Exploração de Imóveis,73.344.100,5.423.750.000,31/12/2019,6.832.980.000,176.612.000,"-4,03%",17.49,1.76,"-1,73%",1.82,16.92,"-26,88%","13,36",66.6,"-15,72%",7.19,53.8,"-41,72%",0.96,41.7,"30,04%",6.18,7.2,"7,59%","-3,64",8.7,"50,76%",2.8,10.4,"42,91%",12.79,4.33,"-20,15%","16,83",0.8,"4,3%",0.13,5.628.890.000,2.987.730.000,67
PARD3,19.5,ON NM,09/04/2020,IHPARDINI ON NM,14.86,Saúde,32.41,"Serviços Médico - Hospitalares, Análises e Diagnósticos",12.499.000,2.554.090.000,31/12/2019,2.655.840.000,130.979.000,"2,63%",16.15,1.21,"1,46%",3.67,5.31,"-20,91%","11,16",30.1,"-9,75%",1.89,16.9,"-28,12%",1.57,11.7,"48,42%",13.96,14.1,"-43,15%","-6,19",16.8,"71,69%",2.3,22.7,"0,00%",8.26,1.55,"0,00%","11,61",0.33,"13,9%",0.83,1.625.790.000,695.227.000,68
MEAL3,2.64,ON NM,09/04/2020,IMC S/A ON NM,2.44,Hoteis e Restaurantes,9.5,Restaurante e Similares,12.844.400,517.229.000,31/12/2019,746.095.000,195.920.000,"0,76%",-32.65,-0.08,"-3,65%",0.45,5.84,"-59,32%","19,56",32.0,"-61,52%",0.32,1.6,"-68,57%",0.19,-1.0,"30,23%",8.44,1.0,"-18,35%","-0,53",1.2,"79,95%",0.4,-1.4,"22,63%",6.91,1.12,"-38,59%","28,21",0.49,"0,1%",0.6,2.685.650.000,1.145.110.000,69
ROMI3,8.9,ON,09/04/2020,ROMI ON,7.01,Máquinas e Equipamentos,17.54,Máqs. e Equips. Industriais,3.539.370,559.436.000,31/12/2019,760.424.000,62.858.000,"4,22%",4.31,2.06,"11,67%",0.74,12.05,"-25,41%","22,23",27.3,"-2,39%",0.73,3.3,"-46,24%",0.41,17.0,"124,14%",1.53,1.8,"17,66%","3,68",2.2,"203,61%",12.9,17.1,"52,06%",12.95,1.92,"-39,67%","30,22",0.46,"7,3%",0.56,1.367.240.000,757.284.000,70
GNDI3,52.15,ON NM,09/04/2020,INTERMEDICA ON NM,32.36,Saúde,76.07,"Serviços Médico - Hospitalares, Análises e Diagnósticos",305.018.000,31.482.600.000,31/12/2019,28.861.000.000,603.693.000,"3,82%",74.32,0.7,"15,99%",4.94,10.55,"2,60%","33,47",27.4,"60,76%",3.74,11.2,"-23,33%",2.39,5.0,"135,75%",8.89,7.2,"43,60%","-39,14",11.5,"0,00%",0.3,6.6,"0,00%",24.33,2.45,"0,00%","30,68",0.34,"25,9%",0.64,13.148.000.000,6.370.400.000,71
MYPK3,11.2,ON,09/04/2020,IOCHPE-MAXION ON,9.8,Material de Transporte,23.63,Material Rodoviário,39.038.600,1.721.660.000,31/12/2019,4.137.110.000,153.720.000,"-2,61%",5.1,2.2,"1,63%",0.53,21.0,"-13,31%","2,74",11.8,"-42,57%",0.17,6.3,"-49,94%",0.18,4.2,"-1,10%",2.22,6.7,"7,70%","-0,68",8.3,"101,75%",7.6,10.5,"-2,94%",3.94,1.3,"6,15%","6,57",0.95,"11,7%",1.07,9.375.410.000,3.228.480.000,72
ITSA3,10.71,ON N1,09/04/2020,ITAÚSA ON N1,9.29,Financeiros,13.79,Bancos,3.755.750,90.079.800.000,31/12/2019,90.652.800.000,8.410.810.000,"-0,83%",8.74,1.23,"7,64%",1.63,6.57,"-11,49%","481,71",25.8,"-16,41%",17.99,3.7,"-21,29%",1.33,211.0,"14,23%",23.67,0.3,"49,45%","-32,90",0.3,"38,09%",8.1,18.7,"36,38%",99.29,2.48,"-14,14%","484,77",0.08,"1,9%",0.07,67.476.000.000,55.232.000.000,73
ITSA4,9.24,PN N1,09/04/2020,ITAÚSA PN N1,7.53,Financeiros,13.88,Bancos,390.467.000,77.715.900.000,31/12/2019,78.288.900.000,8.410.810.000,"-0,86%",7.54,1.23,"5,36%",1.41,6.57,"-14,68%","415,59",25.8,"-17,02%",15.52,3.7,"-32,21%",1.15,211.0,"27,40%",20.42,0.3,"32,62%","-28,38",0.3,"37,62%",9.4,18.7,"39,31%",85.75,2.48,"-12,65%","418,66",0.08,"1,9%",0.07,67.476.000.000,55.232.000.000,74
JBSS3,19.0,ON NM,09/04/2020,JBS ON NM,16.75,Alimentos,33.2,Carnes e Derivados,448.582.000,51.846.200.000,31/12/2019,94.840.300.000,2.728.750.000,"-1,86%",8.54,2.22,"-6,59%",1.75,10.86,"5,56%","3,94",15.6,"12,43%",0.25,6.4,"-26,36%",0.41,3.2,"122,61%",3.85,10.4,"18,75%","-1,00",13.3,"-13,63%",0.0,20.5,"-3,25%",4.87,1.47,"17,98%","7,20",1.79,"5,3%",1.62,126.339.000.000,29.637.000.000,75
JPSA3,21.79,ON,09/04/2020,JEREISSATI PARTICIPACOES ON,18.5,Telefonia Fixa,40.7,Telefonia Fixa,10.053.000,1.915.100.000,31/12/2019,3.383.550.000,87.889.000,"-3,16%",14.88,1.46,"6,45%",1.25,17.49,"-29,98%","5,02",66.6,"-7,83%",2.54,50.5,"-42,35%",0.33,37.8,"68,60%",2.15,6.6,"18,94%","-1,23",8.1,"175,59%",1.8,8.4,"-6,43%",6.64,4.16,"-31,30%","8,86",1.6,"4,3%",0.13,5.748.050.000,1.537.450.000,76
JHSF3,3.64,ON NM,09/04/2020,JHSF Part ON NM,2.14,Construção e Engenharia,8.95,Construção Civil,46.093.200,2.334.120.000,31/12/2019,3.003.360.000,641.242.000,"-2,15%",7.24,0.5,"4,00%",0.77,4.7,"-27,05%","13,94",48.7,"47,92%",3.67,26.3,"-48,95%",0.4,51.3,"294,25%",4.66,2.9,"9,58%","-1,26",3.2,"23,70%",1.9,10.7,"11,57%",15.63,2.16,"-43,19%","17,94",0.4,"2,6%",0.11,5.837.930.000,3.014.130.000,77
JSLG3,15.72,ON NM,09/04/2020,JULIO SIMOES ON NM,9.79,Transporte,36.34,Transporte Rodoviário,29.257.700,3.251.540.000,31/12/2019,11.958.600.000,206.841.000,"2,14%",14.39,1.09,"21,39%",2.41,6.51,"-26,40%","2,80",21.3,"45,01%",0.34,12.0,"-40,96%",0.16,3.3,"291,38%",0.77,5.7,"-15,45%","-0,36",9.2,"-8,17%",1.2,16.8,"42,79%",5.75,1.9,"-41,29%","10,29",10.77,"12,1%",0.48,20.268.200.000,1.347.040.000,78
KEPL3,24.9,ON,09/04/2020,KEPLER WEBER SA ON,17.6,Máquinas e Equipamentos,30.75,Máqs. e Equips. Industriais,3.405.650,655.169.000,31/12/2019,618.907.000,26.312.000,"3,75%",17.44,1.43,"2,47%",1.4,17.76,"-8,46%","11,14",24.9,"35,18%",1.12,10.1,"-15,45%",0.97,6.4,"99,66%",5.19,8.7,"-23,61%","6,93",10.8,"8,48%",1.0,8.0,"11,95%",6.9,1.71,"-65,14%","10,52",0.09,"-1,9%",0.86,676.102.000,467.384.000,79
KLBN3,3.34,ON N2,09/04/2020,KLABIN ON N2,2.58,Madeira e Papel,4.65,Papel e Celulose,1.611.880,18.068.700.000,31/12/2019,32.423.100.000,5.409.800.000,"-1,76%",26.74,0.12,"0,91%",2.99,1.12,"-15,23%","9,46",33.3,"-29,67%",1.76,18.6,"-21,52%",0.52,7.0,"1,00%",1.71,5.5,"-10,34%","-1,24",8.0,"-14,13%",5.2,11.2,"-27,65%",7.9,4.4,"150,17%","16,98",3.98,"16,5%",0.3,34.703.100.000,6.046.880.000,80
KLBN4,3.17,PN N2,09/04/2020,KLABIN PN N2,2.55,Madeira e Papel,4.39,Papel e Celulose,7.768.070,17.149.100.000,31/12/2019,31.503.400.000,5.409.800.000,"-1,86%",25.38,0.12,"-1,55%",2.84,1.12,"-18,72%","8,98",33.3,"11,54%",1.67,18.6,"-10,62%",0.49,7.0,"31,67%",1.62,5.5,"-3,89%","-1,18",8.0,"14,12%",5.4,11.2,"-22,01%",7.68,4.4,"40,09%","16,50",3.98,"16,5%",0.3,34.703.100.000,6.046.880.000,81
KLBN11,16.0,UNT N2,09/04/2020,KLABIN UNT N2,12.81,Madeira e Papel,22.06,Papel e Celulose,154.771.000,17.311.400.000,31/12/2019,31.665.700.000,5.409.800.000,"-1,48%",25.62,0.62,"0,06%",2.86,5.59,"-18,33%","9,07",33.3,"-0,59%",1.69,18.6,"-13,00%",0.5,7.0,"21,76%",1.64,5.5,"-4,93%","-1,19",8.0,"2,89%",5.4,11.2,"-22,24%",7.72,4.4,"67,64%","16,58",3.98,"16,5%",0.3,34.703.100.000,6.046.880.000,82
LLIS3,5.75,ON,09/04/2020,LE LIS BLANC DEUX ON,3.86,Comércio,30.19,"Tecidos, Vestuário e Calçados",1.575.610,395.893.000,31/12/2019,1.399.710.000,68.851.000,"1,95%",-2.05,-2.8,"-2,71%",0.17,33.15,"-54,00%","-2,01",47.5,"-79,71%",0.41,-20.7,"-66,18%",0.09,-20.2,"-35,53%",-2.59,-4.6,"-12,16%","-0,39",-5.7,"46,94%",6.2,-8.5,"70,82%",-50.15,0.87,"-74,48%","-7,10",0.65,"-3,3%",0.22,4.284.090.000,2.282.310.000,83
LIGT3,10.6,ON,09/04/2020,LIGHT SA ON,7.3,Energia Elétrica,24.51,Energia Elétrica,62.286.200,3.221.700.000,31/12/2019,10.310.200.000,303.934.000,"3,41%",2.43,4.37,"9,84%",0.52,20.5,"-44,21%","2,34",25.0,"-48,37%",0.24,10.3,"-55,39%",0.14,9.9,"45,32%",18.24,5.8,"-0,30%","-0,26",7.0,"-3,87%",1.2,21.3,"76,24%",5.26,1.03,"-38,62%","7,50",1.41,"7,0%",0.56,23.843.800.000,6.230.540.000,84
LINX3,22.47,ON NM,09/04/2020,LINX ON NM,16.65,Programas e Serviços,38.38,Programas e Serviços,48.497.700,4.256.020.000,31/12/2019,3.614.100.000,189.409.000,"-0,88%",109.48,0.21,"34,96%",2.38,9.45,"-13,58%","28,11",65.5,"-39,37%",5.4,19.2,"-36,56%",1.66,4.9,"9,15%",4.58,5.9,"53,86%","8,09",9.7,"24,94%",0.6,2.2,"18,62%",13.33,3.51,"-12,70%","23,87",0.19,"15,6%",0.31,2.563.940.000,1.789.840.000,85
RENT3,30.15,ON,09/04/2020,LOCALIZA RENT A CAR ON,23.31,Diversos,55.4,Aluguel de Carros,379.650.000,22.867.800.000,31/12/2019,29.416.300.000,758.467.000,"-5,49%",27.42,1.1,"14,64%",4.2,7.18,"-24,09%","15,07",24.6,"4,29%",2.24,14.9,"-36,27%",1.18,8.2,"68,75%",23.53,7.8,"36,13%","-2,42",10.8,"105,40%",1.3,15.3,"41,42%",13.13,1.28,"-28,48%","19,38",1.72,"28,2%",0.53,19.393.000.000,5.447.530.000,86
LCAM3,12.33,ON NM,09/04/2020,LOCAMERICA ON NM,8.21,Diversos,25.49,Aluguel de Carros,86.634.200,6.272.630.000,31/12/2019,8.931.800.000,508.729.000,"-1,99%",18.55,0.66,"18,52%",1.61,7.67,"-24,88%","7,86",27.5,"2,29%",1.31,16.6,"-45,10%",0.57,7.0,"84,33%",7.43,7.2,"101,64%","-1,56",11.2,"230,27%",2.7,8.7,"96,79%",7.04,1.37,"-8,73%","11,19",1.2,"67,8%",0.43,11.048.000.000,3.904.410.000,87
LWSA3,19.96,ON NM,09/04/2020,LOCAWEB ON NM,10.2,Programas e Serviços,25.5,Programas e Serviços,26.382.200,2.498.430.000,31/12/2019,2.652.300.000,125.172.000,"5,00%",138.26,0.14,"10,89%",28.28,0.71,"14,06%","53,46",41.8,"-3,11%",6.48,12.1,"-3,11%",4.86,4.7,"0,00%",-40.48,9.1,"0,00%","-10,02",10.0,"0,00%",0.0,20.5,"0,00%",26.35,0.74,"0,00%","56,76",2.11,"22,5%",0.75,514.013.000,88.333.000,88
LOGG3,20.81,ON NM,09/04/2020,LOG COM PROP ON NM,15.54,Exploração de Imóveis,34.4,Exploração de Imóveis,13.826.900,2.125.930.000,31/12/2019,2.508.350.000,102.159.000,"-1,56%",23.57,0.88,"-4,98%",0.72,28.77,"-6,68%","21,29",98.3,"15,23%",16.6,78.0,"-35,89%",0.53,72.9,"81,44%",2.87,2.5,"2,99%","-13,09",2.9,"0,00%",0.5,3.1,"0,00%",24.93,6.69,"0,00%","25,11",0.3,"7,5%",0.03,3.988.730.000,2.938.960.000,89
LOGN3,12.93,ON NM,09/04/2020,Log-In ON NM,8.1,Transporte,25.7,Transporte Hidroviário,29.469.200,1.347.300.000,31/12/2019,1.940.410.000,104.199.000,"5,64%",121.06,0.11,"-9,33%",4.25,3.04,"-16,31%","12,38",18.8,"42,87%",1.28,10.3,"-38,13%",0.7,1.1,"167,95%",2.32,5.7,"155,74%","-1,97",9.7,"36,16%",0.0,3.5,"-57,58%",9.35,2.76,"-60,95%","17,83",3.96,"2,1%",0.55,1.912.080.000,316.927.000,90
LAME3,16.97,ON,09/04/2020,LOJAS AMERICANAS S.A. ON,11.79,Comércio,24.62,Produtos Diversos,30.043.100,27.505.800.000,31/12/2019,34.727.700.000,1.620.850.000,"-2,13%",39.07,0.43,"17,44%",5.32,3.19,"-6,19%","12,00",36.4,"36,71%",1.45,12.1,"-13,81%",0.83,3.1,"33,11%",3.29,6.9,"15,09%","-3,94",13.8,"5,15%",1.1,13.6,"20,85%",9.47,1.79,"-5,42%","15,14",3.45,"0,9%",0.57,33.269.000.000,5.167.630.000,91
LAME4,21.3,PN,09/04/2020,LOJAS AMERICANAS S.A. PN,14.45,Comércio,29.06,Produtos Diversos,210.933.000,34.524.100.000,31/12/2019,41.746.000.000,1.620.850.000,"-2,70%",49.04,0.43,"18,33%",6.68,3.19,"-2,78%","15,06",36.4,"36,98%",1.82,12.1,"-17,79%",1.04,3.1,"33,14%",4.13,6.9,"15,97%","-4,95",13.8,"0,48%",0.8,13.6,"5,63%",11.39,1.79,"14,90%","18,21",3.45,"0,9%",0.57,33.269.000.000,5.167.630.000,92
AMAR3,5.22,ON NM,09/04/2020,LOJAS MARISA ON NM,3.75,Comércio,15.28,"Tecidos, Vestuário e Calçados",43.791.900,1.365.900.000,31/12/2019,2.159.910.000,261.667.000,"9,89%",-12.16,-0.43,"13,48%",0.96,5.43,"-50,33%","3,47",46.2,"-26,38%",0.47,13.7,"-60,69%",0.34,-3.9,"155,88%",1.65,9.8,"-28,41%","-6,08",14.3,"21,64%",0.0,-7.9,"22,89%",2.99,1.54,"-63,23%","5,48",1.07,"-2,2%",0.72,4.020.070.000,1.420.010.000,93
LREN3,36.58,ON,09/04/2020,RENNER ON,30.0,Comércio,60.76,"Tecidos, Vestuário e Calçados",395.638.000,29.101.500.000,31/12/2019,29.374.200.000,795.558.000,"-3,10%",26.48,1.38,"9,00%",6.19,5.91,"-20,34%","11,93",61.1,"-4,31%",3.04,25.4,"-34,78%",2.47,11.5,"47,50%",15.42,20.7,"20,89%","-67,53",26.1,"70,91%",1.5,23.4,"38,28%",9.27,1.4,"13,91%","12,04",0.35,"12,3%",0.81,11.791.700.000,4.704.610.000,94
LPSB3,3.62,ON NM,09/04/2020,LOPES BRASIL ON NM,3.05,Construção e Engenharia,10.27,Intermediação Imobiliária,5.414.360,534.148.000,31/12/2019,388.029.000,147.555.000,"-3,72%",-124.74,-0.03,"1,97%",2.99,1.21,"-27,60%","26,63",83.7,"-22,65%",3.62,13.6,"-62,01%",1.32,-1.9,"50,79%",4.29,4.9,"13,06%","-15,22",8.2,"43,33%",0.0,-2.4,"74,11%",9.46,2.83,"-64,16%","19,34",0.05,"-9,1%",0.36,405.272.000,178.592.000,95
MDIA3,30.65,ON NM,09/04/2020,M.DIASBRANCO ON NM,26.78,Alimentos,45.0,Alimentos Diversos,58.347.000,10.390.300.000,31/12/2019,11.005.300.000,339.000.000,"-2,01%",18.66,1.64,"5,33%",1.72,17.8,"-17,83%","19,45",35.4,"-27,39%",1.7,8.8,"-19,21%",1.28,9.1,"-10,86%",8.89,6.6,"-17,18%","40,63",7.0,"37,26%",0.8,9.2,"75,03%",14.34,2.01,"-23,99%","20,61",0.16,"7,0%",0.75,8.101.030.000,6.034.950.000,96
MGLU3,41.65,ON NM,09/04/2020,MAGAZ LUIZA ON NM,19.94,Comércio,58.85,Eletrodomésticos,789.875.000,67.670.100.000,31/12/2019,63.765.000.000,1.624.730.000,"-0,74%",73.41,0.57,"6,82%",8.95,4.66,"3,20%","73,45",27.9,"101,23%",3.4,4.6,"-12,63%",3.42,4.6,"112,19%",13.99,4.7,"126,39%","110,03",10.1,"509,21%",0.4,12.2,"503,78%",45.28,1.6,"-69,67%","69,21",0.11,"23,2%",1.0,19.791.100.000,7.564.940.000,97
POMO4,2.43,PN N2,09/04/2020,MARCOPOLO PN N2,2.15,Material de Transporte,5.49,Material Rodoviário,31.894.000,2.300.950.000,31/12/2019,2.929.540.000,946.893.000,"-2,41%",11.43,0.21,"-1,62%",1.0,2.44,"-43,08%","9,56",15.1,"-32,31%",0.53,5.6,"-44,95%",0.44,4.9,"11,94%",1.74,4.6,"5,24%","-49.056,60",6.6,"45,80%",5.5,8.7,"55,03%",8.96,1.87,"-37,87%","12,18",0.78,"15,0%",0.83,5.193.680.000,2.310.080.000,98
